,Name,Date Of Birth,Country,Number_100m,Number_50m
153,"NORBY, Kristine Nilsson",2005,DEN,1:04.81,31.42
154,"SCALISE, Benedetta",2005,ITA,1:05.10,31.23
155,"SALENS, Valerie",2004,SUI,1:05.13,30.80
156,"HINKKA, Aino",2005,FIN,1:05.18,31.06
157,"MARIN, Ioana",2005,ROU,1:05.19,31.00
158,"VJESTICA, Mihaela",2004,CRO,1:05.31,30.81
159,"TABOR, Schastine Skifter",2005,DEN,1:05.55,31.64
160,"NYSTRAND, Lisa",2006,SWE,1:05.70,31.40
161,"VALDMAA, Laura-Liis",2004,EST,1:05.72,30.52
162,"BERANEK, Sophie",2006,AUT,1:05.80,31.80
163,"JOUHTEN, Helmi",2004,FIN,1:05.86,32.04
164,"DAHL, Alma Bendix",2005,DEN,1:06.27,31.74
165,"VISMARA, Anna",2005,SUI,1:06.34,31.73
166,"FERNANDES, Carolina Miranda",2005,POR,1:06.42,31.55
167,"SPEHAR, Nika",2004,CRO,1:06.43,32.12
168,"GERIKSONAITE, Patricija",2007,LTU,1:06.86,32.03
169,"SANTULIANA, Nicole",2005,ITA,1:06.92,32.04
170,"SAUNDERS, Rachel",2005,GBR,1:07.34,32.57
171,"KONDRASKAITE, Patricija",2006,LTU,1:07.55,32.69
172,"YERMISHYNA, Anastasiya",2006,UKR,1:08.01,32.88
173,"ZEQIRI, Eda",2004,KOS,1:08.50,32.60
174,"TUZILOVA, Natalie",2005,CZE,1:08.91,32.18
175,"XHEMOLLARI, Vivian",2006,ALB,1:10.13,34.23
176,"BEQIRI, Jona",2006,KOS,1:11.49,35.09
177,"DOGAN, Goeksu",2005,TUR,1:03.48,30.44
178,"MOLUH, Mary",2005,FRA,1:01.41,29.26
179,"SHANAHAN, Katie",2004,GBR,1:01.83,30.51
180,"GAETANI, Erika",2004,ITA,1:01.96,30.24
181,"WEILER SASTRE, Carmen",2004,ESP,1:02.05,30.08
182,"MOLNAR, Dora",2006,HUN,1:02.51,30.61
183,"KURILKINA, Aleksandra",2005,RUS,1:03.26,29.74
184,"MARKOVIC, Jana",2004,SRB,1:03.32,30.43
185,"KROEGER, Lina",2004,GER,1:03.57,30.36
186,"MOLUH, Mary",2005,FRA,1:01.60,29.52
187,"WEILER SASTRE, Carmen",2004,ESP,1:02.62,30.42
188,"MOLNAR, Dora",2006,HUN,1:02.68,30.49
189,"KURILKINA, Aleksandra",2005,RUS,1:03.09,30.05
190,"SHARAFUTDINOVA, Nika",2005,UKR,1:03.28,30.92
191,"TRENTKIEWICZ, Dominika",2004,POL,1:03.32,31.02
192,"FONTANA, Chiara",2004,ITA,1:03.40,30.82
193,"GOBET, Malika",2004,SUI,1:03.68,31.82
194,"SHANAHAN, Katie",2004,GBR,1:03.70,31.47
195,"KROEGER, Lina",2004,GER,1:03.85,30.48
196,"VERDONCK, Fleur",2006,BEL,1:04.24,31.33
197,"NORBY, Kristine Nilsson",2005,DEN,1:04.36,31.28
198,"DENIZLI, Sudem",2005,TUR,1:04.53,31.60
199,"MARKOVIC, Jana",2004,SRB,1:04.81,31.53
200,"JOUHTEN, Helmi",2004,FIN,1:05.23,31.43
201,"NYSTRAND, Lisa",2006,SWE,1:05.29,31.36
202,"VALDMAA, Laura-Liis",2004,EST,1:05.38,31.14
203,"GERIKSONAITE, Patricija",2007,LTU,1:06.93,31.90
